
(2024-11-05 23:24:10) El usuario 'zaca' se ha registrado. 
(2024-11-05 23:24:15) El usuario 'zaca' ha iniciado sesión. 
(2024-11-05 23:25:22) El usuario 'zaca' ha iniciado sesión. 
(2024-11-05 23:25:22) El usuario 'zaca' ha hecho una publicación. 
(2024-11-05 23:25:36) El usuario 'zaca' ha hecho un comentario. 
(2024-11-05 23:25:42) El usuario 'zaca' ha cerrado sesión. 
(2024-11-05 23:26:40) El usuario 'zaca' ha iniciado sesión. 
(2024-11-05 23:26:41) El usuario 'zaca' ha cerrado sesión. 
(2024-11-05 23:26:47) El usuario 'zaca' ha iniciado sesión. 
(2024-11-05 23:26:50) El usuario 'zaca' ha cerrado sesión. 
(2024-11-05 23:28:22) El usuario 'nerea' ha iniciado sesión. 
(2024-11-05 23:28:26) El usuario 'nerea' ha cerrado sesión. 
(2024-11-05 23:29:46) El usuario '' ha cerrado sesión. 
(2024-11-05 23:29:52) El usuario 'zaca' ha iniciado sesión. 
(2024-11-05 23:29:55) El usuario 'zaca' ha cerrado sesión. 
(2024-11-06 08:28:21) El usuario 'nerea' ha iniciado sesión. 
(2024-11-06 08:28:34) El usuario 'nerea' ha cerrado sesión. 
(2024-11-06 13:31:09) El usuario 'nerea' ha iniciado sesión. 
(2024-11-06 13:31:10) El usuario 'nerea' ha cerrado sesión. 
(2024-11-06 13:41:02) El usuario 'nerea' ha iniciado sesión. 
(2024-11-06 13:41:03) El usuario 'nerea' ha cerrado sesión. 
